  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  0.   0.  29.  29.   7.    7.  34.  34.  22.   0.   0.  22.  26.   0.  28.  22. 
 29.  30.  27.  28.  30.   30.   0.   0.   0.  12.  12.   9.   0.  53.  12.   0. 
 29.  30.   0.   0.   7.    8.  22.  22.  22.  33.  33.  22.  22.   0.   0.  52. 
  9.   9.   0.   0.   9.    9.   0.   0.  23.  10.   0.  50.  26.   0.   6.  23. 
 29.  30.  41.  41.   9.    9.   2.   3.  24.   0.  23.  24.  24.  22.   0.  24. 
  0.   0.   7.   7.   9.   10.   2.   3.   0.   6.   6.   0.  16.   6.   8.   0. 
 20.  20.  13.  14.   6.    7.   0.   0.   0.  20.   5.   6.  12.   5.   5.   0. 
  2.   2.  31.  32.  13.   13.  16.  17.   0.   4.   4.  23.   0.  56.   4.   0. 
  6.   6.   9.  10.  14.   14.   0.   0.  12.   0.   0.  52.  12.  46.   0.  12. 
 22.  22.  41.  41.  23.   23.   0.   0.   0.  14.  14.  30.  44.  14.  14.   0. 
 14.  15.   9.   9.   1.    2.   4.   4.  20.  11.   3.  20.  20.   0.   0.  20. 
 26.  26.   8.   8.  34.   34.   0.   0.   0.   4.  26.   0.  49.   4.   4.  19. 
